CASEID,cexabu,cexphys,cexsex,cex_070a,cex_070b,cex_070c,cex_080,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex
26071,1,1,1,6,6,6,1,994,994,994,4,1,"13",1,2
26072,1,1,1,6,6,6,1,994,994,994,3,2,"12",1,1
26073,1,1,1,6,6,6,1,813,994,813,4,1,"59",5,1
26074,3,2,1,2,2,1,2,994,994,994,4,1,"59",5,2
26075,3,2,1,2,2,1,2,994,994,994,1,2,"48",4,2
26076,1,1,1,6,6,6,1,994,994,994,1,1,"35",3,1
26077,1,1,1,6,6,6,1,994,994,994,2,2,"24",2,2
26078,1,1,1,6,6,6,1,994,994,994,3,1,"24",2,1
26079,3,2,1,2,2,1,1,405,994,405,6,1,"35",3,1
26080,1,1,1,6,6,6,1,994,994,994,1,2,"12",1,2
26081,3,2,1,2,2,1,1,994,994,994,2,1,"12",1,2
26082,1,1,1,6,6,6,1,994,994,994,7,2,"48",4,2
26083,1,1,1,6,6,6,1,994,994,994,6,1,"35",3,1
26084,3,2,1,2,2,1,1,994,994,994,4,2,"48",4,2
26085,2,2,2,2,2,1,5,711,994,711,5,2,"48",4,2
26086,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,1
26087,1,1,1,6,6,6,1,994,994,994,4,1,"24",2,1
26088,1,1,1,6,6,6,1,994,994,994,6,1,"12",1,2
26089,2,2,2,2,2,1,3,994,994,994,7,2,"46",4,2
26090,1,1,1,6,6,6,2,994,994,994,4,1,"24",2,2
26091,1,1,1,6,6,6,1,994,994,994,3,1,"12",1,2
26092,2,2,2,2,2,1,1,994,994,994,5,1,"12",1,1
26093,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,1
26094,1,1,1,6,6,6,1,994,994,994,5,1,"59",5,2
26095,1,1,1,6,6,6,1,994,994,994,3,2,"24",2,2
26096,3,2,1,2,2,1,1,994,994,994,5,1,"24",2,1
26097,1,1,1,6,6,6,1,711,101,101,1,1,"35",3,2
26098,3,2,1,2,2,1,1,994,994,994,2,1,"47",4,1
26099,3,2,1,2,2,1,1,994,994,994,6,1,"35",3,1
26100,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,2
26101,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,2
